id,owner_id,parent_id,slug,title,status,source_url,created_at,updated_at,published_at,deleted_at,tabcoins,tabcoins_credit,tabcoins_debit,owner_username,children_deep_count,type
4b056290-0b30-4bbd-81f6-d3ed488b945f,5861ffd7-094d-42e4-a489-7852cec79cc6,,canais-de-startup,Canais de Startup?,published,,2025-01-28T20:39:38.044Z,2025-01-28T20:39:38.044Z,2025-01-28T20:39:38.087Z,,7,6,0,K4L1B3,5,content
7f691871-3552-47e8-8ce5-ef9ec30ced6d,69bb26f9-5746-4f16-a6a9-b0b31c373ce0,,caso-deepseek-o-verdadeiro-poder-esta-no-software,Caso: DeepSeek - O verdadeiro poder esta no software,published,https://eduardotrevizan.substack.com/p/o-verdadeiro-poder-esta-no-software,2025-01-29T11:25:48.890Z,2025-01-29T11:25:48.890Z,2025-01-29T11:25:48.896Z,,6,5,0,TrevizoTecnologia,5,content
